Brand,Operating System,RAM Type,RAM Size,Disc Type,Disc Size,MRP
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,64 bit Windows 11,DDR4,8GB,SSD,512GB,32990
HP,64 bit Windows 10,DDR4,8GB,SSD,512GB,49990
ASUS,Windows 11,DDR4,8GB,SSD,512GB,49990
HP,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
DELL,Windows 11,DDR4,8GB,HDD,1TB,38990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
realme,64 bit Windows 10,DDR4,8GB,SSD,256GB,46990
ASUS,64 bit Windows 11,DDR4,16GB,SSD,512GB,44990
HP,64 bit Windows 11,DDR4,8GB,SSD,512GB,59990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
ASUS,64 bit Windows 11,DDR4,8GB,SSD,256GB,32990
ASUS,64 bit Windows 11,DDR4,8GB,SSD,512GB,52990
acer,64 bit Windows 11,DDR4,8GB,SSD,256GB,29990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
ASUS,64 bit Windows 11,DDR4,8GB,HDD,1TB,47990
ASUS,64 bit Windows 11,DDR4,8GB,SSD,512GB,45990
MSI,64 bit Windows 11,DDR4,8GB,SSD,512GB,47990
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
APPLE,MMac OS,DDR4,8GB,SSD,256GB,88990
HP,64 bit Windows 11,DDR4,8GB,SSD,512GB,40990
Lenovo,OS,LPDDR4,4GB,HDD,256GB,19490
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,35590
HP,64 bit Windows 11,DDR4,8GB,SSD,512GB,65990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
acer,64 bit Windows 11,DDR4,16GB,SSD,512GB,58990
realme,64 bit Windows 10,DDR4,8GB,SSD,256GB,46990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
acer,64 bit Windows 11,DDR4,8GB,SSD,256GB,24990
acer,64 bit Windows 11,DDR4,8GB,SSD,512GB,47990
ASUS,64 bit Windows 11,DDR4,8GB,SSD,512GB,73990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,53490
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,35590
ASUS,Windows 11,DDR4,16GB,SSD,1TB,150990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,51990
ASUS,64 bit Windows 11,DDR4,16GB,SSD,512GB,66990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,194990
